time,location,new_id
15:05,drinks,1.6
15:05,fruit,3.2
15:05,spices,1.2
15:06,checkout,1.2
15:06,dairy,4.4
15:06,drinks,1.4
15:06,fruit,3.4
15:06,spices,0.8
15:07,checkout,2.8
15:07,dairy,2.6
15:07,drinks,1.2
15:07,fruit,3.4
15:07,spices,1.0
15:08,checkout,2.0
15:08,dairy,2.6
15:08,drinks,1.2
15:08,fruit,3.8
15:08,spices,1.4
15:09,checkout,1.2
15:09,dairy,3.0
15:09,drinks,2.4
15:09,fruit,3.2
15:09,spices,1.4
15:10,checkout,1.2
15:10,dairy,2.4
15:10,drinks,3.0
15:10,fruit,4.0
15:10,spices,1.6
15:11,checkout,2.4
15:11,dairy,3.0
15:11,drinks,2.8
15:11,fruit,3.2
15:11,spices,0.6
15:12,checkout,1.4
15:12,dairy,4.0
15:12,drinks,2.0
15:12,fruit,3.2
15:12,spices,0.8
15:13,checkout,1.8
15:13,dairy,4.0
15:13,drinks,2.6
15:13,fruit,2.2
15:13,spices,0.6
15:14,checkout,1.4
15:14,dairy,3.8
15:14,drinks,1.6
15:14,fruit,2.8
15:14,spices,0.8
15:15,checkout,0.8
15:15,dairy,4.8
15:15,drinks,1.4
15:15,fruit,3.8
15:15,spices,0.2
15:16,checkout,1.2
15:16,dairy,4.2
15:16,drinks,1.4
15:16,fruit,3.0
15:16,spices,1.8
15:17,checkout,1.6
15:17,dairy,4.4
15:17,drinks,1.4
15:17,fruit,2.6
15:17,spices,1.2
15:18,checkout,1.2
15:18,dairy,4.8
15:18,drinks,1.2
15:18,fruit,2.8
15:18,spices,1.2
15:19,checkout,2.4
15:19,dairy,4.2
15:19,drinks,0.8
15:19,fruit,2.4
15:19,spices,1.4
15:20,checkout,1.2
15:20,dairy,3.6
15:20,drinks,1.8
15:20,fruit,3.0
15:20,spices,0.6
15:21,checkout,1.6
15:21,dairy,3.6
15:21,drinks,1.4
15:21,fruit,3.4
15:21,spices,0.2
15:22,checkout,2.4
15:22,dairy,3.6
15:22,drinks,1.0
15:22,fruit,1.8
15:22,spices,1.0
15:23,checkout,0.6
15:23,dairy,5.0
15:23,drinks,1.4
15:23,fruit,1.8
15:23,spices,0.8
15:24,checkout,0.8
15:24,dairy,4.4
15:24,drinks,1.2
15:24,fruit,3.2
15:24,spices,1.0
15:25,checkout,1.8
15:25,dairy,4.2
15:25,drinks,0.4
15:25,fruit,3.0
15:25,spices,1.6
15:26,checkout,1.4
15:26,dairy,3.4
15:26,drinks,0.8
15:26,fruit,2.8
15:26,spices,1.6
15:27,checkout,1.6
15:27,dairy,3.0
15:27,drinks,1.8
15:27,fruit,2.8
15:27,spices,1.0
15:28,checkout,1.2
15:28,dairy,2.8
15:28,drinks,2.8
15:28,fruit,2.6
15:28,spices,0.8
15:29,checkout,2.0
15:29,dairy,2.8
15:29,drinks,1.8
15:29,fruit,2.8
15:29,spices,1.2
15:30,checkout,2.0
15:30,dairy,2.6
15:30,drinks,1.2
15:30,fruit,2.4
15:30,spices,0.8
15:31,checkout,1.0
15:31,dairy,2.2
15:31,drinks,1.4
15:31,fruit,2.2
15:31,spices,0.4
15:32,checkout,0.4
15:32,dairy,2.0
15:32,drinks,1.8
15:32,fruit,1.8
15:32,spices,1.2
15:33,checkout,0.6
15:33,dairy,3.2
15:33,drinks,2.0
15:33,fruit,1.6
15:33,spices,1.0
15:34,checkout,1.0
15:34,dairy,4.2
15:34,drinks,2.0
15:34,fruit,1.8
15:34,spices,0.8
15:35,checkout,2.2
15:35,dairy,3.6
15:35,drinks,0.6
15:35,fruit,1.8
15:35,spices,1.0
15:36,checkout,0.8
15:36,dairy,2.6
15:36,drinks,0.6
15:36,fruit,3.2
15:36,spices,1.0
15:37,checkout,0.6
15:37,dairy,2.4
15:37,drinks,0.8
15:37,fruit,3.4
15:37,spices,0.8
15:38,checkout,1.2
15:38,dairy,1.8
15:38,drinks,0.8
15:38,fruit,3.2
15:38,spices,1.0
15:39,checkout,0.6
15:39,dairy,2.2
15:39,drinks,1.2
15:39,fruit,3.2
15:39,spices,0.4
15:40,checkout,0.8
15:40,dairy,2.4
15:40,drinks,1.4
15:40,fruit,3.0
15:40,spices,1.4
15:41,checkout,1.2
15:41,dairy,2.8
15:41,drinks,2.0
15:41,fruit,3.2
15:41,spices,1.4
15:42,checkout,1.4
15:42,dairy,2.6
15:42,drinks,3.2
15:42,fruit,2.4
15:42,spices,0.8
15:43,checkout,1.2
15:43,dairy,3.6
15:43,drinks,2.0
15:43,fruit,2.4
15:43,spices,1.0
15:44,checkout,2.0
15:44,dairy,3.2
15:44,drinks,1.4
15:44,fruit,2.8
15:44,spices,1.0
15:45,checkout,1.0
15:45,dairy,3.6
15:45,drinks,1.4
15:45,fruit,2.8
15:45,spices,2.0
